STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170318,-9999,-9999,0,7.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170319,-9999,-9999,0.11,8,0.8,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170320,-9999,-9999,0,6.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170321,-9999,-9999,0,4.5,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170322,-9999,-9999,0,3,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170323,-9999,-9999,0,2,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170324,-9999,-9999,0,1,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170325,-9999,-9999,0.01,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170326,-9999,-9999,0.05,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170327,-9999,-9999,0.25,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170328,-9999,-9999,0.67,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170329,-9999,-9999,0.46,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170330,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170331,-9999,-9999,0.33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170401,-9999,-9999,0.98,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170402,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170403,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170404,-9999,-9999,1.19,-9999,-9999,-9999,-9999,-9999,-9999
